Sample,X1,X2,X3,X4
GSM2309170_200134080018_R03C01,-0.134175578065325,-0.0336669160656485,0.0582265884948709,-0.0282799524003349
GSM2309171_200134080018_R04C01,-0.135364928164588,-0.0398548983010596,0.0645927282528639,-0.0114235934056232
GSM2309172_200134080018_R01C01,-0.0598444335687241,-0.0348987274362176,0.0624257920904227,-0.0962491163956799
GSM2309173_200134080018_R02C01,-0.0655099629627246,-0.0444008452920326,0.0813334941474554,-0.0871282203783255
GSM2309174_200134080009_R02C01,-0.170909536144544,0.0209972158013263,0.368900237874805,-0.141336631343008
GSM2309175_200134080009_R03C01,0.914140181665991,-0.194674151356035,-0.0512737034943189,0.057396126426027
GSM2309176_200134080009_R01C01,-0.207588363202098,-0.0318007767628179,-0.869240168231058,0.0960129687318142
GSM2309177_200134080009_R05C01,-0.150704597455886,-0.16842849843803,0.266595469478715,0.80037984781786
GSM2309178_200134080009_R06C01,-0.0708049019900991,-0.166439473821171,0.113335362957599,-0.551364215272348
GSM2309179_200134080009_R04C01,0.127890244551177,0.941405943678234,0.0242913351896886,0.0503654241548798
GSM2309180_200134080009_R07C01,-0.0246797702850662,-0.0479455595949116,-0.0225351873436201,-0.015059155051752
GSM2309181_200134080009_R08C01,-0.0356890447499793,-0.0576820958008323,-0.0142336275018612,-0.00887661110262971
GSM2309182_200134080015_R07C01,0.0185658998379138,-0.0466257352581283,-0.0331625940216896,-0.0172774156892985
GSM2309183_200134080015_R08C01,0.0249261080509682,-0.050873472813011,-0.0316673661941423,-0.00281299363839955
GSM2309184_200134080019_R08C01,-0.0302513175170173,-0.0451120085396611,-0.0175883616997311,-0.044346462453177
